feature,psi,ks_statistic,ks_pvalue,reference_mean,current_mean,seasonal,verdict
hour_sin,5.232596508929659,0.5246800186674059,0.0,-0.09523790320033064,-0.7575536464320605,True,seasonal
hour_cos,3.7367862190943315,0.3673078678552506,0.0,-0.2471173850515477,0.1630545597301413,True,seasonal
V1,0.8799967082800095,0.2854350867104515,0.0,-0.07797217789686316,0.24614993720487932,False,shifted
V3,0.6797934919661988,0.376913009729029,0.0,0.2625111114894877,-0.7455171004572997,False,shifted
V28,0.46872642901350314,0.24202847618379292,0.0,0.002057723712385205,-0.003778034176690322,False,shifted
V11,0.3091791516534086,0.15505973347698676,0.0,0.1052219057311623,-0.3005430878321006,False,shifted
V25,0.2332256685213543,0.22533242044355006,0.0,0.05058387650085754,-0.14575426625448284,False,watch
V15,0.1927748155077592,0.18151627634913325,0.0,0.07043654218661212,-0.19767901872409674,False,watch
V12,0.17678235594046668,0.0906515787324717,0.0,-0.05951372811474749,0.16766698082388679,False,watch
V22,0.1414034788486241,0.1387774791139199,0.0,-0.036107470324662556,0.1033424359169785,False,watch
V5,0.13834885819318393,0.16923224113680785,0.0,-0.08698750366304984,0.2561661143467702,False,watch
V4,0.11941194203697818,0.14017043522617667,0.0,0.05929876368354288,-0.18127399075092324,False,watch
V23,0.11735495660652714,0.14215930370374763,0.0,-0.013541733213623943,0.039544956665080906,False,watch
V24,0.11550020323971691,0.06318350169695786,2.422910657929039e-189,0.003095788744276123,-0.00803774220663445,False,watch
V26,0.11224672680481992,0.06232304394620175,3.1547440889318206e-184,0.004708554646143089,-0.01290643368931694,False,watch
V21,0.08876574423674853,0.10829410296554642,0.0,-0.011851437218817894,0.03250695224421167,False,stable
V14,0.06563309913148199,0.08586966865300644,0.0,0.04268992987351757,-0.1212757272456077,False,stable
V7,0.06538501274539259,0.09554358878873154,0.0,-0.0367620365357076,0.1122322801286947,False,stable
V6,0.05617347755897166,0.10137009330451163,0.0,0.039540228513740214,-0.11763346897531389,False,stable
V9,0.05204938311481952,0.04479985156534749,2.3054901774501532e-95,0.004715690637064565,-0.019671478461157573,False,stable
V20,0.047170600004605635,0.1011254954890729,0.0,0.01583976899071742,-0.04463695585663069,False,stable
V8,0.04174058278951257,0.0863910069642076,0.0,0.010796047646551262,-0.034217839999787295,False,stable
V27,0.03840209104824177,0.060039390840943785,5.395014857262298e-171,0.0026834010013579756,-0.0008726183337272491,False,stable
V13,0.03606747417580898,0.048140394330028036,4.677784825878515e-110,0.028639271165131625,-0.07968265669974067,False,stable
V17,0.033856521891364955,0.07840742376627141,1.7539209186785236e-291,0.02098616327593228,-0.05944035683020694,False,stable
V10,0.02895418057492682,0.040835135877667406,2.6785205264254776e-79,-0.007805874277638832,0.01678712708714196,False,stable
V19,0.023771458604859273,0.053170279509737184,3.550999727449497e-134,-0.01144932253500752,0.03176624566140147,False,stable
V18,0.020795454516753645,0.06035306388937878,8.784503405247693e-173,-0.02732615481948007,0.084107685006693,False,stable
V2,0.015644195314367726,0.027648899379106417,1.40176871653844e-36,-0.0070537438817311875,0.004224313438360423,False,stable
V16,0.0062513100625017125,0.020389683743062548,4.3559829694476357e-20,-0.004796666048103206,0.018225804732515588,False,stable
log_amount,0.005808161705600929,0.035913060254774254,1.994504328526601e-61,3.1821400688538506,3.0724902414891666,False,stable
amount_pct_rank,0.005808161705600929,0.03589101057526156,2.3699181221237386e-61,0.5023272763224831,0.4821647698925254,False,stable
is_night,0.0,0.16718182336941012,0.0,0.16718182336941015,0.0,True,seasonal
is_zero_amount,0.0,0.001964929476789057,0.9843172185662443,0.006880908451106081,0.004915978974317074,False,stable
is_whole_euro,0.0,0.02010079981227353,1.5568721610927338e-19,0.25397066935499213,0.23386986954271863,False,stable
